id,entity_name,dba,all_licenses,total_licenses,license_sub_types,address,city,state,zip_code,municipal_phone,place_id,google_name,formatted_address,website,phone_number,primary_category,categories,rating,user_ratings_total,business_status,enriched_at
2366,Dano 5-0 Corporations,The Coder School Nevada,2019312910,1,Instructional Services,3255 St Rose Pkwy,Henderson,Nevada,89052,,ChIJXVEzKOHPyIAR83sH2qS5jg8,theCoderSchool,"3255 St Rose Pkwy #140, Henderson, NV 89052, USA",https://www.thecoderschool.com/locations/henderson/?utm_source=gmb,(702) 527-2107,Establishment,,5.0,35,OPERATIONAL,2026-08-24 15:04:35
2367,Daren M. Libonati L.L.C,DAREN M. LIBONATI L.L.C.,2000056844,1,Management/Marketing/Consulting,2187 OVERLOOK CANYON LN,HENDERSON,Nevada,89052,,ChIJR5m5xhzSyIARS6J6BXeXzyo,2187 Overlook Canyon Ln,"2187 Overlook Canyon Ln, Henderson, NV 89052, USA",,,Premise,"Premise, Street Address",0.0,0,OPERATIONAL,2026-08-24 15:04:35
2368,Dark Moon Coffee LLC,Dark Moon Coffee Roasters,"2018308800, 2018308801",2,"Restaurant/Food Service, Liquor",11041 S Eastern Ave,Henderson,Nevada,89052,(702) 460-3541,ChIJI3pTsAzNyIARjLUcDMrnwoM,Dark Moon Coffee Roasters,"11041 S Eastern Ave #115, Henderson, NV 89052, USA",http://www.darkmooncoffee.com/,(702) 840-3300,Cafe,"Cafe, Food, Store",4.8,916,OPERATIONAL,2026-08-24 15:04:36
2369,"Dark Water Productions, LLC",Samera Entertainment,2007301622,1,Motion Picture and TV Production,1036 Pleasant Run Ct,Henderson,Nevada,89011,,ChIJCwFSCuXPyIARNNABgvgqU88,"SAMA Entertainment, LLC","1734 Rugged Ravine Ct, Las Vegas, NV 89183, USA",https://anesings.com/,(702) 763-7090,Establishment,,0.0,0,OPERATIONAL,2026-08-24 15:04:36
2370,Darlene Ann Roye,Back on Track Counseling,2019312950,1,"Social Work, Behavioral Therapy Business",1076 Sandstone Canyon St,Henderson,Nevada,89012,,ChIJXS_yU7jPyIARnhPPOV_CA1I,Access Nevada Therapy,"305 N Pecos Rd E, Henderson, NV 89074, USA",,(702) 600-4360,Health,Health,5.0,4,OPERATIONAL,2026-08-24 15:04:37
2371,Darlene F Cross,"Cross, Darlene F",2022318932,1,Animal Breeder,528 Blanche Ct,Henderson,Nevada,89052,,ChIJH-kqX_3RyIARUTHZUXF9yB0,528 Blanche Ct,"528 Blanche Ct, Henderson, NV 89052, USA",,,Premise,"Premise, Street Address",0.0,0,OPERATIONAL,2026-08-24 15:04:37
2372,Darren Roman,LITTLE BUGGERS PEST CONTROL,2022318554,1,Pest Control,160 W Mulberry Dr,Henderson,Nevada,89015,,ChIJi_XMEovRyIARwC3gMVZCG0s,"Lady Bug Pest Control, Inc.","199 N Arroyo Grande Blvd #100, Henderson, NV 89074, USA",http://www.ladybugpci.com/,(702) 382-9711,Establishment,,5.0,8,OPERATIONAL,2026-08-24 15:04:38
2373,Darrin D Illges,5 Axis Firearms,2021317016,1,Firearms/Firearms Instructor,999 Leadville Meadows Dr,Henderson,Nevada,89052,,ChIJV8eOIVDPyIARraS7wLcMJcI,APEX ARMORY,"10608 S Eastern Ave Ste G, Henderson, NV 89052, USA",https://www.apexarmory.com/,(702) 852-1690,Store,Store,4.9,163,OPERATIONAL,2026-08-24 15:04:38
2374,Daryll W Franco,Salsa de Franco,2024330416,1,Restaurant/Food Service,1370 W Cheyenne Ave,North Las Vegas,Nevada,89030,,ChIJXfcLBHLCyIAR4r9PdUGk2ng,Vida Kitchens - Las Vegas Commissary Kitchen,"1370 W Cheyenne Ave, North Las Vegas, NV 89030, USA",http://vidakitchens.com/,(702) 518-0250,Food,"Food, Meal Delivery, Restaurant",4.8,10,OPERATIONAL,2026-08-24 15:04:39
2375,Dash Emporium LLC,Dash's Loaded Soda Shop,2025334077,1,Mobile Food Vendor,2100 N Boulder Hwy,Henderson,Nevada,89011,,ChIJUaSuri3RyIARpdoSkBXaxLU,Dave & Buster's Henderson,"821 David Baker Wy, Henderson, NV 89011, USA",https://www.daveandbusters.com/us/en/about/locations/henderson,(725) 230-3950,Bar,"Bar, Food, Restaurant",4.4,742,OPERATIONAL,2026-08-24 15:04:39
2376,DataPLUS Communication Limited,DataPLUS Security,2015303831,1,Alarm Systems Business,769 Middlegate Rd,Henderson,Nevada,89011,,ChIJPbl7ienQyIAR850-svNkxmc,DataPLUS Communications,"769 Middlegate Rd, Henderson, NV 89011, USA",https://www.dpcnv.com/,(702) 795-3282,Establishment,,3.7,6,OPERATIONAL,2026-08-24 15:04:40
2377,Datumsurge LLC,Datumsurge,2025333993,1,Management/Marketing/Consulting,2521 Lockerbie St,Henderson,Nevada,89044,,,,,,,,,0.0,0,OPERATIONAL,2026-08-24 15:04:40
2378,"Dave & Buster's of Nevada, LLC",Dave & Buster's,"2023323588, 2023323589",2,"Restaurant/Food Service, Liquor",821 David Baker Way,Henderson,Nevada,89011,,ChIJUaSuri3RyIARpdoSkBXaxLU,Dave & Buster's Henderson,"821 David Baker Wy, Henderson, NV 89011, USA",https://www.daveandbusters.com/us/en/about/locations/henderson,(725) 230-3950,Bar,"Bar, Food, Restaurant",4.4,742,OPERATIONAL,2026-08-24 15:04:41
2379,"Dave Linden Productions, LLC","DAVE LINDEN PRODUCTIONS, LLC",2010302394,1,Miscellaneous,2157 ANSERVILLE AVE,HENDERSON,Nevada,89044,,ChIJL1TuN7vSyIARifWL7CohL0E,2157 Anserville Ave,"2157 Anserville Ave, Henderson, NV 89044, USA",,,Premise,"Premise, Street Address",0.0,0,OPERATIONAL,2026-08-24 15:04:42
2380,David B Tepper,David B Tepper,1800039011,1,Miscellaneous,2420 Marlene Way,Henderson,Nevada,89014,,ChIJ0xufCxXQyIARa2uD12fLeBA,2420 Marlene Way,"2420 Marlene Way, Henderson, NV 89014, USA",,,Premise,"Premise, Street Address",0.0,0,OPERATIONAL,2026-08-24 15:04:42
2381,David Bakshi Inc,Las Vegas Real Estate Specialists,2018306701,1,Real Estate Business,3753 Howard Hughes Pkwy,Las Vegas,Nevada,89169,(702) 530-8475,ChIJ41kfFnXFyIARE6t8EAmFHqc,Las Vegas Real Estate Specialists,"3753 Howard Hughes Pkwy #200-436, Las Vegas, NV 89169, USA",http://www.lv-re.com/,(702) 530-8475,Real Estate Agency,Real Estate Agency,5.0,9,OPERATIONAL,2026-08-24 15:04:43
2382,"David Evans and Associates, Inc.","David Evans and Associates, Inc.",2024330552,1,Architectural Firm,2100 S River Pkwy,Portland,Oregon,97201,,ChIJ6wNj22wKlVQRI9yt5UTxgWE,"David Evans and Associates, Inc.","2100 S River Pkwy, Portland, OR 97201, USA",https://www.deainc.com/,(503) 223-6663,General Contractor,General Contractor,4.5,17,OPERATIONAL,2026-08-24 15:04:43
2383,David Frank Mcfarlan,Exacto Inspection Services,2021317571,1,Real Estate Business,420 Opal Dr,Henderson,Nevada,89015,,ChIJWRh8EGdSvasR8AOGTqMuhX4,NV Inspection Services LLC | Best Home Inspection services in Henderson | Home inspector Nevada,"161 Horizon View Dr, Henderson, NV 89015, USA",http://www.nvinspectionservices.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=14968101430597169372,(702) 237-6501,Establishment,,5.0,19,OPERATIONAL,2026-08-24 15:04:44
2384,David Herbert Marquardt,Cinemedia,2008302458,1,Photography and Videography Sales/Service,2470 Saint Rose Pkwy,Henderson,Nevada,89074,,ChIJRdmeDyfUyIAR5QvS-pJmB08,Cinemark Cinedome Henderson 12,"851 S Boulder Hwy, Henderson, NV 89015, USA",https://www.cinemark.com/theatres/nv-henderson/cinemark-cinedome-henderson-12?utm_medium=organic&utm_source=gmb&utm_campaign=local_listing_theater&y_source=1_MTc0OTI5ODYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,(702) 566-1570,Food,"Food, Meal Takeaway, Movie Theater, Restaurant",4.4,2190,OPERATIONAL,2026-08-24 15:04:44
2385,David J Oyhancabal,Dave O's Fix-it Pros,2025334391,1,Handyman,1940 N Boulder Hwy,Henderson,Nevada,89011,,,,,,,,,0.0,0,OPERATIONAL,2026-08-24 15:04:45
2386,David M McCracken,Kraken PressWorks,2026335095,1,Book Sales,1490 Fieldbrook St,Henderson,Nevada,89052,,ChIJrYYH_d7FyIAR-LR7jsNHUqU,King Printing,"110 Corporate Park Dr Ste 101, Henderson, NV 89074, USA",http://www.kingprintingusa.com/,(702) 895-7515,Establishment,,4.5,27,OPERATIONAL,2026-08-24 15:04:45
2387,David Otto,Hands In Motion,2006305142,1,Independent Massage Therapist,3683 Lucido Dr,Las Vegas,Nevada,89103,,,,,,,,,0.0,0,OPERATIONAL,2026-08-24 15:04:46
2388,David Pascoe,MAXIMAL AUDIO,2019310055,1,Miscellaneous,641 Indian Corn Ave,Henderson,Nevada,89015,,ChIJNy_p4UjRyIARWySvMR1zO1U,Car audio solutions,"732 W Sunset Rd, Henderson, NV 89011, USA",,(702) 445-8804,Car Repair,"Car Repair, Electronics Store, Store",4.8,190,OPERATIONAL,2026-08-24 15:04:46
2389,David Persin,Henderson Bulldogs Basketball,2022318774,1,Miscellaneous,1353 Dilevante Dr,Henderson,Nevada,89052,,ChIJizRxdMbXyIAR9t9agvotuu8,Breakthrough Basketball Camps & Training - Las Vegas,"441 Cadence View Way, Henderson, NV 89011, USA",https://www.breakthroughbasketball.com/camps/nevada/las-vegas?utm_source=Google&utm_medium=Profile&utm_campaign=Profile_LasVegas,(702) 846-5012,Establishment,,4.9,43,OPERATIONAL,2026-08-24 15:04:47
2390,David Ray Polan,Polan's Guns,2012301341,1,Firearms/Firearms Instructor,1270 Dove Tree Ct,Henderson,Nevada,89014,,ChIJsT-Gv7rWyIAR3pVIM21b-lw,Spurlock's Gun Store,"22 Pacific Ave, Henderson, NV 89015, USA",http://www.spurlocksguns.com/,(702) 564-5668,Store,Store,4.6,482,OPERATIONAL,2026-08-24 15:04:47
2391,David Todd Bates,Mesa Pest Control,2018308234,1,Pest Control,1994 Freeman Ct,Henderson,Nevada,89014,(702) 355-7536,ChIJAyJTBljOyIARwZvY7Cbh_iQ,Las Vegas Pest Contol,"2057 Pabco Rd, Henderson, NV 89011, USA",https://www.369bugs.com/,(702) 970-4623,Establishment,,4.9,2792,OPERATIONAL,2026-08-24 15:04:48
2392,David Tomas,Tomas Tombs Halloween,2023321372,1,Miscellaneous,746 Bollons Island St,Henderson,Nevada,89002,,ChIJwQ9Tx7rRyIARJqlRq4j7jTM,Spirit Halloween,"1239 W Warm Springs Rd, Henderson, NV 89014, USA",https://stores.spirithalloween.com/nv/henderson/halloween-store-65230.html?utm_medium=referral&utm_source=google&utm_campaign=local_listing&utm_inex=e,(855) 704-2669,Clothing Store,"Clothing Store, Home Goods Store, Store",4.1,296,OPERATIONAL,2026-08-24 15:04:49
2393,David Willis,Bethesda Pools,2022319414,1,Pool and Spa Maintenance,1194 King Arthur Ct,Henderson,Nevada,89002,,ChIJ5eGoxrfVyIAR_FB8AVUkWUU,Bethesda Pools pool cleaning service,"1194 King Arthur Ct, Henderson, NV 89002, USA",,(702) 493-6840,Establishment,,4.9,45,OPERATIONAL,2026-08-24 15:04:49
2394,David Wolfson LLC,Top Property Real Estate,2024330384,1,Miscellaneous,2243 Double Tree Ave,Henderson,Nevada,89052,,ChIJBSyfhBLRyIARqweK6cfz1GI,Rooftop Realty,"650 S Green Valley Pkwy Ste 130, Henderson, NV 89052, USA",https://rooftoprealty.net/,(702) 233-4663,Real Estate Agency,Real Estate Agency,4.7,62,OPERATIONAL,2026-08-24 15:04:50
2395,"David's Bridal, Inc.",David's Bridal,2024329566,1,Retail Product Sales,631 Marks St,Henderson,Nevada,89014,,ChIJ47XwR_DQyIARVsfrQGQSqlk,David's Bridal,"SunMark Plaza, 631 Marks St Ste C-1, Henderson, NV 89014, USA",https://www.davidsbridal.com/stores/henderson-nv-890148606-0151?utm_source=google&utm_medium=organic&utm_term=local&utm_content=henderson-nv-890148606-0151&utm_campaign=websitelisting,(702) 433-1139,Clothing Store,"Clothing Store, Shoe Store, Store",4.8,3393,OPERATIONAL,2026-08-24 15:04:50
2396,Davis Stanley LLC,Davis Stanley LLC,2023322854,1,Bookkeeping Business,720 Dowland St,Henderson,Nevada,89011,,ChIJ04JeTh7XyIARoOGeZQynew4,720 Dowland St,"720 Dowland St, Henderson, NV 89011, USA",,,Premise,"Premise, Street Address",0.0,0,OPERATIONAL,2026-08-24 15:04:51
2397,Dawn Cook Consulting LLC,Dawn Cook Consulting LLC,2023322606,1,Management/Marketing/Consulting,358 Gracious Way,Henderson,Nevada,89011,,,,,,,,,0.0,0,OPERATIONAL,2026-08-24 15:04:52
2398,"Dawn Herald, LLC","Dawn Herald, LLC",2021316811,1,Office Only,2568 Chateau Clermont St,Henderson,Nevada,89044,,ChIJ2ftXb6PSyIARvSMO0fJpAt8,2568 Chateau Clermont St,"2568 Chateau Clermont St, Henderson, NV 89044, USA",,,Premise,"Premise, Street Address",0.0,0,OPERATIONAL,2026-08-24 15:04:52
2399,Dawn on the Rise Bakery LLC,Dawn on the Rise Bakery LLC,2026335125,1,Cottage Food Operation,88 Vitale Ave,Henderson,Nevada,89002,,ChIJL5zA813VyIARUU6IfYgAlL0,Dawn on the Rise Bakery,"88 Vitale Ave, Henderson, NV 89002, USA",http://dawnontherise.com/,(702) 727-7429,Bakery,"Bakery, Food, Store",5.0,4,OPERATIONAL,2026-08-24 15:04:53
2400,"Dawson Enterprises, Inc.",SONITROL OF SOUTHERN NEVADA,1992011392,1,Alarm Systems Business,3520 E Charleston Blvd,Las Vegas,Nevada,89104,,ChIJAQ3aRKrEyIARNrs_jcO711s,Sonitrol Nevada,"3520 E Charleston Blvd, Las Vegas, NV 89104, USA",http://sonitrolnevada.com/,(702) 384-7400,Establishment,,3.0,3,OPERATIONAL,2026-08-24 15:04:53
2401,"Day 1 Dental, PLLC",Day 1 Dental,2024329917,1,Dental Office,9530 S Eastern Ave,Henderson,Nevada,89074,,ChIJu_sq0MXPyIARMviW_S_GMAk,Day 1 Dental,"9530 S Eastern Ave #160, Las Vegas, NV 89123, USA",https://yourday1dental.com/,(725) 331-3291,Dentist,"Dentist, Health",5.0,93,OPERATIONAL,2026-08-24 15:04:54
2402,Daybreak LV LLC,Daybreak Acai LV,2026335568,1,Food Service - Special Event Only,2121 E Sahara Ave,Las Vegas,Nevada,89104,,ChIJbRgH0VjDyIARI-iMCfbKG70,Acai Village Smoothies,"1306 S 3rd St, Las Vegas, NV 89104, USA",https://acaivillagesmoothies.com/,(702) 528-9001,Food,"Food, Restaurant",2.0,1,OPERATIONAL,2026-08-24 15:04:54
2403,"Daylite Consulting, LLC","Daylite Consulting, LLC",2019312704,1,Management/Marketing/Consulting,317 ISLAND REEF AVE,HENDERSON,Nevada,89012,,ChIJucVqc1_QyIARE9gEg40iqPM,Intelligent Design IT Consulting,"631 N Stephanie St, Henderson, NV 89014, USA",http://www.iditclv.com/contact.html,(702) 339-3045,Establishment,,5.0,1,CLOSED_PERMANENTLY,2026-08-24 15:04:55
2404,De Corazon Counseling Las Vegas LLC,De Corazon Counseling Las Vegas LLC,2023329389,1,"Social Work, Behavioral Therapy Business",105 Boysenberry Ln,Henderson,Nevada,89074,(702) 763-3589,ChIJ6dBsuzrVyIARPuKvdVbtO-A,Henderson Counseling Services,"160 E Horizon Dr Ste A, Henderson, NV 89015, USA",http://www.hendersoncounselingservices.org/,(702) 670-1209,Health,Health,5.0,1,OPERATIONAL,2026-08-24 15:04:55
2405,"DeBelloy, James Harding",Basic Barber Shop,2011301303,1,Barbershops and Cosmetology Establishment,39 E Basic Rd,Henderson,Nevada,89015,,ChIJnx8RXKLWyIARirqB2xbgEJ8,Basic Barber Shop,"39 E Basic Rd # D, Henderson, NV 89015, USA",,(702) 566-1324,Hair Care,"Hair Care, Health",4.5,34,OPERATIONAL,2026-08-24 15:04:56
2406,DeSimone Gaming Inc.,The Pass at Water Street,"2020315328, 2015302631, 2015302632, 2020315329, 2020315330, 2015302634, 2015302635, 2022320989, 2022320997, 2023322996, 2023322997, 2024330958, 2024330959, 2024330960, 2024330961, 2024330962",16,"Restaurant/Food Service, Hotel - Motel, Liquor, Miscellaneous",140 S Water St,Henderson,Nevada,89015,(702) 990-8660,ChIJ-wCLaNbXyIARbQ0pR4_1J1M,The Pass Casino,"140 S Water St, Henderson, NV 89015, USA",https://passcasino.com/,(702) 841-5000,Casino,Casino,4.1,748,CLOSED_TEMPORARILY,2026-08-24 15:04:56
2407,DeTomaso Tanning LLC,Ultimate Tanning,2021318154,1,Miscellaneous,60 S Stephanie St,Henderson,Nevada,89012,,ChIJl4EZh3XRyIAR366dUIoFrr4,Ultimate Tanning,"60 S Stephanie St #120, Henderson, NV 89012, USA",https://www.ultimatetanninglv.com/,(702) 982-5489,Health,Health,4.8,177,OPERATIONAL,2026-08-24 15:04:57
2408,Deadwood Meadery LLC,Deadwood Meadery,"2022318737, 2022319181",2,"Restaurant/Food Service, Liquor",7705 Commercial Way,Henderson,Nevada,89011,,ChIJtTXtki7RyIARFp-zLVRPAxY,Deadwood Meadery,"7705 Commercial Way Unit 100, Henderson, NV 89011, USA",http://www.deadwoodmeadery.com/,(702) 992-3310,Bar,"Bar, Food",4.9,114,CLOSED_TEMPORARILY,2026-08-24 15:04:57
2409,Deanna Fossett,Resurfaced Skinlab,2025333026,1,Barbershops and Cosmetology Establishment,2720 N Green Valley Pkwy,Henderson,Nevada,89014,,ChIJ36q9YM3RyIAR6GE3hk4AOI0,ReSurfaced SkinLab,"2720 N Green Valley Pkwy, Henderson, NV 89014, USA",https://www.resurfacedskinlab.com/,(702) 285-9741,Beauty Salon,"Beauty Salon, Hair Care, Health, Spa",5.0,21,OPERATIONAL,2026-08-24 15:04:58
2410,Deanna M Yoder,Dream Clean,2021317288,1,Cleaning Services,1133 Safari Creek Dr,Henderson,Nevada,89002,,,,,,,,,0.0,0,OPERATIONAL,2026-08-24 15:04:59
2411,Deanna Remark,Cambeiro Development & Design,2021315990,1,Designer or Decorator,2370 W Horizon Ridge Pkwy,Henderson,Nevada,89052,,ChIJTyXkU_zRyIAR7X-4IHaXXfA,Dr. Arthur Cambeiro: SurgiSpa Cosmetic and Plastic Surgery,"2370 W Horizon Ridge Pkwy #130, Henderson, NV 89052, USA",https://www.surgispa.net/?utm_source=google&utm_medium=local&utm_campaign=henderson-practice-website,(702) 566-8300,Doctor,"Doctor, Health, Spa",4.9,516,OPERATIONAL,2026-08-24 15:04:59
2412,Deb's Dog Grooming LLC,Deb's Dog Grooming LLC,2012310678,1,Pet Product Sales,12211 S Eastern Ave,Henderson,Nevada,89052,,ChIJ9et4wY7NyIARqA4nvwBlaS4,Deb's Dog Grooming,"12211 S Eastern Ave #150, Henderson, NV 89052, USA",http://www.debsdoggroominglv.com/,(702) 527-7797,Establishment,,4.5,11,OPERATIONAL,2026-08-24 15:05:00
2413,Debbie R. Treadway,Apriill,2024330617,1,Psychic Arts Practitioner,9550 S Eastern Ave,Las Vegas,Nevada,89123,,ChIJP8VYPQ3QyIAR7-D6d-y1IX0,Apria Healthcare,"7370 Eastgate Rd #140, Henderson, NV 89011, USA",http://www.apria.com/,(702) 736-4466,Health,"Health, Store",2.7,192,OPERATIONAL,2026-08-24 15:05:00
2414,Debits & Credits Bookkeeping LLC,Debits & Credits Bookkeeping LLC,2025333003,1,Bookkeeping Business,854 Cypress Pines Way,Henderson,Nevada,89002,,ChIJayeCM0zXyIARHXnN4ZYav20,"Make Cents Bookkeeping, LLC","684 Cottonwood Hl Pl, Henderson, NV 89011, USA",https://www.makecentsaccounting.com/,(702) 577-5459,Accounting,"Accounting, Finance",0.0,0,OPERATIONAL,2026-08-24 15:05:01
2415,Debora Ann Schilling,Debora Ann Schilling,2022318396,1,Miscellaneous,1116 Plumstead St,Henderson,Nevada,89002,,ChIJUatGTnrUyIARhLu-UOX7JR0,1116 Plumstead St,"1116 Plumstead St, Henderson, NV 89002, USA",,,Premise,"Premise, Street Address",0.0,0,OPERATIONAL,2026-08-24 15:05:01
2416,Deborah Kroposky-Pecoff,Whimsiwicks Candles,2024331765,1,Miscellaneous,819 Sandsprings St,Henderson,Nevada,89011,,ChIJeUUm4k3PyIARXxDycE-fgMQ,ReWax and UnWine Vegas Custom Candle Making Experience,"9911 S Eastern Ave #140, Las Vegas, NV 89183, USA",https://www.rewaxandunwinevegas.com/,(702) 268-7504,Home Goods Store,"Home Goods Store, Store",5.0,271,OPERATIONAL,2026-08-24 15:05:02
2417,Deborah L Wake,Deborah L Wake Consulting,2017306547,1,Management/Marketing/Consulting,277 VIA DEL DUOMO,HENDERSON,Nevada,89011,,ChIJf3DYEBTXyIARH-WyIFM_Rbs,277 Via Del Duomo,"277 Via Del Duomo, Henderson, NV 89011, USA",,,Premise,"Premise, Street Address",0.0,0,OPERATIONAL,2026-08-24 15:05:02
2418,Deborah Lynn Shields,Epic Relocation & Referral Services,2023321453,1,Bookkeeping Business,2627 Dirleton Pl,Henderson,Nevada,89044,,ChIJjSNbeVzRyIARo4gtj_crJ5Q,Epic Storage,"155 Pancho Via Dr, Henderson, NV 89012, USA",https://epicstorage.com/self-storage/henderson-nv-89012?utm_source=local&utm_medium=organic&utm_campaign=gmb,(702) 850-7474,Storage,Storage,4.9,145,OPERATIONAL,2026-08-24 15:05:03
2419,Deborah O'Brien,DOB MARKETING,2020313199,1,Management/Marketing/Consulting,35 ANTERO DR,HENDERSON,Nevada,89074,,ChIJs-2lqGnFyIAR6OwjjMixM7c,Do Better Marketing - Las Vegas,"1771 E Flamingo Rd Bldg B, Las Vegas, NV 89119, USA",https://dobetterinc.com/?utm_source=google&utm_medium=gbp&utm_campaign=JDG&utm_id=business+profile,(702) 381-1688,Establishment,,5.0,3,OPERATIONAL,2026-08-24 15:05:03
2420,Deborah R Lowndes,Tilted Brushes,2025334405,1,Retail Product Sales,3745 N Colfax Cir,Las Vegas,Nevada,89108,,ChIJ15dvtYzqyIAR9qW08MiTdVE,3745 N Colfax Cir,"3745 N Colfax Cir, Las Vegas, NV 89108, USA",,,Premise,"Premise, Street Address",0.0,0,OPERATIONAL,2026-08-24 15:05:04
2421,Deborah Wiley Manning,Jus a Dream Creations,2014301162,1,Miscellaneous,2368 Teton Ranch Ave,Henderson,Nevada,89052,,ChIJfXWAIZfGyIARyyr4y7GnH_g,Dream Construction Co.,"911 American Pacific Dr Ste 190, Henderson, NV 89014, USA",https://www.dreamconstruction.co/,(702) 816-5800,General Contractor,"General Contractor, Home Goods Store, Store",4.5,32,OPERATIONAL,2026-08-24 15:05:04
2422,Debra A Jeter,DEBBEE'S HIDDEN TREASURES,2021317402,1,Miscellaneous,1433 Morning Crescent St,Henderson,Nevada,89052,(609) 216-4596,ChIJFyIKi8XNyIARrlvoqtFkhUM,1433 Morning Cres St,"1433 Morning Cres St, Henderson, NV 89052, USA",,,Premise,"Premise, Street Address",0.0,0,OPERATIONAL,2026-08-24 15:05:05
2423,Debra Drake Gilbertson,The Grout Maids,2026335994,1,Cleaning Services,1667 Yucatan Ct,Henderson,Nevada,89012,,ChIJZ4ycpSR9Ci4R_M_o1iN19IE,Henderson Tile & Grout Cleaning,"11500 S Eastern Ave Ste 150, Henderson, NV 89052, USA",https://royalsurfacerestore.com/tile-grout-cleaning-henderson/,(725) 444-4797,Laundry,Laundry,5.0,14,OPERATIONAL,2026-08-24 15:05:06
2424,Debra K Miller,Horizon Falls Water,2005300244,1,Retail Product Sales,1450 W Horizon Ridge Pkwy,Henderson,Nevada,89012,,ChIJNzmVL5zRyIAROqye7XbnHWs,Horizon Falls Water,"1450 W Horizon Ridge Pkwy, Henderson, NV 89012, USA",,(702) 782-0447,Food,Food,4.3,35,OPERATIONAL,2026-08-24 15:05:06
2425,Debra March Ventures,Debra March Ventures,2024329640,1,Management/Marketing/Consulting,1050 Astounding Hills Dr,Henderson,Nevada,89052,,ChIJzXfpYw_SyIARt7BfDRYNKY0,1050 Astounding Hills Dr,"1050 Astounding Hills Dr, Henderson, NV 89052, USA",,,Premise,"Premise, Street Address",0.0,0,OPERATIONAL,2026-08-24 15:05:07
2426,Debra McCarty,SIN CITY YARN,2020314186,1,Miscellaneous,136 Primero Way,Henderson,Nevada,89074,(702) 808-8736,ChIJR4oebbfPyIARQecOm7qBi-w,Sin City Knit Shop,"8826 S Eastern Ave Ste 110, Las Vegas, NV 89123, USA",http://www.sincityknitshop.com,(702) 641-0210,Store,Store,4.8,161,CLOSED_PERMANENTLY,2026-08-24 15:05:07
2427,Debra Simpson,We Can Do It,2014300069,1,Handyman,2271 Arkansas Valley Ave,Henderson,Nevada,89044,(702) 582-9120,ChIJxcG6ppvSyIARYhhKLYM06fA,2271 Arkansas Valley Ave,"2271 Arkansas Valley Ave, Henderson, NV 89044, USA",,,Premise,"Premise, Street Address",0.0,0,OPERATIONAL,2026-08-24 15:05:08
2428,Debra Stefan LLC,Vegas Fitness Retreats,2023322393,1,Personal Services,620 Via Colmo Ave,Henderson,Nevada,89011,(702) 630-6224,,,,,,,,0.0,0,OPERATIONAL,2026-08-24 15:05:08
2429,Debris Buddies Inc.,Debris Buddies Inc.,2023322647,1,Inter-Jurisdictional Business,5183 N Miller Ln,Las Vegas,Nevada,89149,,,,,,,,,0.0,0,OPERATIONAL,2026-08-24 15:05:09
2430,"Debry Medical Services, P.C.",NV Eye Surgery,2013302806,1,Medical Office,2390 W Horizon Ridge Pkwy,Henderson,Nevada,89052,,ChIJ7ScNqf3RyIARVhzVQeWxd6w,NV Eye Surgery,"2390 W Horizon Ridge Pkwy Suite 100, Henderson, NV 89052, USA",https://www.nveyesurgery.com/locations/henderson/,(702) 744-9598,Doctor,"Doctor, Health",4.8,682,OPERATIONAL,2026-08-24 15:05:10
2431,"Debt Does Deals, LLC",reAlpha Mortgage,2025333045,1,Mortgage Lending Company,303 S Water St,Henderson,Nevada,89015,,ChIJbXifuKPWyIARYq9X6RxVS0Q,303 S Water St,"303 S Water St, Henderson, NV 89015, USA",,,Street Address,"Street Address, Subpremise",0.0,0,OPERATIONAL,2026-08-24 15:05:11
2432,DeeAnn Bill,DLB3 Consulting,2025334312,1,Management/Marketing/Consulting,1571 Cattle Ranch Pl,Henderson,Nevada,89002,,ChIJCQAwtDLMyIAR6_ylIaVwhxw,Ndb3 Consulting,"3535 Executive Terminal Dr, Henderson, NV 89052, USA",https://ndb3consulting.com/specials-contact-website/,(702) 291-2939,Establishment,,0.0,0,CLOSED_PERMANENTLY,2026-08-24 15:05:11
2433,"Deep Blue Cryo, Inc.","Deep Blue Cryo, Inc.",2026335122,1,Retail Product Sales,451 Serenity Point Dr,Henderson,Nevada,89012,,ChIJNyvzYp_RyIARBl62KGMElCM,"Deep Blue Cryo, Inc.","451 Serenity Point Dr, Henderson, NV 89012, USA",http://www.deepbluecryo.com/,(775) 417-7655,Establishment,,0.0,0,OPERATIONAL,2026-08-24 15:05:12
2434,Deep Detailing LLC,Deep Detailing LLC,2026335643,1,Mobile Detailing,2838 Cool Water Dr,Henderson,Nevada,89074,,ChIJ54ciVjvhsWQRqUS5thkjoBc,Deep Detailing LLC,"2838 Cool Water Dr, Henderson, NV 89074, USA",http://deepdetailingllc.net/,(725) 333-4835,Car Wash,Car Wash,5.0,64,OPERATIONAL,2026-08-24 15:05:12
2435,"Deep Roots Aria Acqco, Inc.",The Source,"2024331184, 2024331188, 2024331189",3,"Retail Marijuana Store, Office Only",9480 S Eastern Ave,Henderson,Nevada,89074,,ChIJI7cFUAfPyIARX5zF-h-5g-U,The Source Dispensary Henderson,"9480 S Eastern Ave #185, Las Vegas, NV 89123, USA",https://www.thesourcenv.com/,(702) 708-2222,Store,Store,4.5,956,OPERATIONAL,2026-08-24 15:05:13
