entity_name,license_numbers,dba_names
Canto Rodado LLC,2024330267,Bodegon Las Vegas
Capener and Sanford L.L.C.,2021316460,Aspire Dental
Capistrano Pines LP,2019311941,Capistrano Pines Aparments
Capital 8 Inc.,2021317622,Green Valley Senior Care
Capital Advisors Inc.,2022320491,Capital Advisors Inc.
"Capital Commercial, LLC",2021317862,"Capital Commercial, LLC"
"Capital Pump and Equipment, LLC",2021316634,"Capital Pump and Equipment, LLC"
Capital Tint LLC,2009302796,Capital Tint & Customs
"Capitol North American, Inc.",2015302741,"Capitol North American, Inc."
Capriotti's BH LLC,2013301861,Capriotti's Sandwich Shop
"Capriotti's Horizon Store, LLC",2008301434,Capriotti's Sandwich Shop
Capstone Capital LLC,2024330447,Capstone Capital Wealth Advisors
"Capstone On-Campus Management, LLC",2023322877,"Capstone On-Campus Management, LLC"
Captivation Dance Affiliates LLC,2025332096,Captivation Dance Affiliates LLC
"Car Care Auto Touch Up Plus, LLC",2023323460,"Car Care Auto Touch Up Plus, LLC"
"Car Care Plus, Inc",2019310906; 2019310904; 2019310905; 2021318268,AAA Auto Repair Center
"CarMax Auto Superstores, Inc.",2022318665; 2022318667; 2022318666,CarMax The Auto Superstore
Card Shop Live Inc.,2023321501,Card Shop Live Inc.
"Cardiac Imaging, Inc.",2017305606,"Cardiac Imaging, Inc."
"Cardinal Financial Company, Limited Partnership",2023321817,Sebonic Financial
Cardinal Home Health Care Inc.,2022319322,Cardinal Home Health Care Inc.
Care Art Homecare Nevada Inc,2025332078,Care Art Homecare Nevada Inc
Care Connect LLC,2026335419,Care Connect LLC
Care One Hospice Inc,2023321910,Care One Hospice Inc
Care Plan Financial Coaching LLC,2026335039,Care Plan Financial Coaching LLC
Carefree Purified Water LLC,2024330545,Carefree Purified Water LLC
"Carelon Medical Partners of Nevada, P.C.",2016302600,"Carelon Medical Partners of Nevada, P.C."
Carina Bareng Renzi,2025332268,Doughmestic
Caring Hands Home Health LLC,2022319933,Caring Hands Home Health LLC
Caring Ohana Group Home LLC,2024330990,Caring Ohana Group Home LLC
"Caring Touch, Inc",2015303263,"Caring Touch, Inc"
Carissa Shima,2023323097,Carissa Shima
Carissimi Mental Health & Wellness PLLC,2026335104,Carissimi Mental Health & Wellness PLLC
Carla Maione,2025332986,Forever Auto Express
Carland LLC,2022319451,Carland Auto Sales
Carli Broadbent,2017305745,Carli's Creations
Carlos Alberto David Castrillon,2025333580,Eco-Zeo
Carlos Licea Mendoza,2018307251,C Licea Palm Service
Carlos R Ludizaca & Diana I Quintero,2026335361,Hop To It
Carlson Gracie Henderson LLC,2022320265,Carlson Gracie Henderson LLC
Carmen Doris Streit,2026335508,Soapy Bubbles Cleaning
Carmen Duran,2016300051; 2016300052,"DURAN, CARMEN"
Carmen W Angulo,2023323480,God 1st-Bully Breed
"Carmine's Pest Control, LLC",2005305723,Carmine's Pest Control
Carmona Appliance Repair LLC,2024330075,Carmona Appliance Repair LLC
"Carnegie Heights, LP",2020313838; 2020313839,Carnegie Heights at Henderson
Carol B Frisby,2001002477,American Canine Training
Carol Conti,2016300515,Seven Hills Counseling
Carol Drake,2006301752,State Farm Insurance
Carol Shirley Riback,2026335061,Carol Shirley Riback
Carole Hartman LLC,2016301312,Affirm Hartman Realty
Carolina Clavel,2026336319,EDLAB Consulting & Training
"Caroline A. Bobbett, D.D.S., Professional Corporation",2012300874,"Caroline A. Bobbett, DDS, PC"
"Carollo Engineers, A Professional Corporation",2006301883,Carollo Engineers
"Carolyn A. Matzinger, M.D., A Professional Corporation",2013302110,Matzinger Institute of Healing
Carolyn Cae Andrews Studio Salon LLC,2022319779; 2022319780,Honi and Hive Salon Spa
Carolyn J Maindonald,2025332910,A Journey Awaits
Carrie Ann Aquino,2009303472,#Hair
Carrie Pollard,2021318015,Carrie Pollard Photography
"Carrington Mortgage Services, LLC",2014300507,"Carrington Mortgage Services, LLC"
Carroll Design Collaborative LLC,2020315069,Carroll Design Collaborative
Carrot & Daikon Banh Mi Henderson LLC,2025332471,Carrot & Daikon Banh Mi Henderson LLC
Carver Services LLC,2023323327,Carver Services LLC
Casa Concierge LLC,2024331001,Casa Concierge LLC
Casandra Bosse Perches,2025333600,Las Vegas Taekwon-Do Club
Casey Akana Agency LLC,2024330352,Casey Akana Agency LLC
"Cash America West, Inc.",2004305425; 2004305190,SuperPawn
Cash Out Vegas LLC,2025334466,Ice Machine Cleaning Pros
"Casillas, Cesar",1998039557,Santa Rosa Taco Shop
Casino AML Solutions LLC,2026334600,Casino AML Solutions LLC
"Casino Valle Verde, Inc.",2011302825,Casino Valle Verde
Casita Olvera Home Care LLC,2025333531,Casita Olvera Home Care
"Cass Holland, LLC",2023323150,"Cass Holland, LLC"
"Cassady Law Offices, P.C.",2024330189,"Cassady Law Offices, P.C."
Cassandra J Law,2024330279,Law of Massage
Castle Mountain Venture,2017306095,Castle Mountain Venture
Castro LLC,2023322052,Flat Rate Handyman
"Casual Male Retail Store, LLC",2014302124,Destination XL #9720
"Catapult Global, LLC.",2012310323,"Catapult Global, LLC."
Catapult Recruiting LLC,2022321234,Catapult Recruiting LLC
Catchment Consulting Group LLC,2023323615,Catchment Consulting Group LLC
Catherine Metzger,2017304557,"METZGER, CATHERINE"
"Catholic Sites, Inc.",2020313486,"Catholic Sites, Inc."
"Cathy Jensen Boutahiri, MSA, CPA, PLLC",2015300671,Profit Pro Accounting and Tax
"Catlow Consulting, LLC",2015300103,"Catlow Consulting, LLC"
"Cause Based Commerce, Inc.",2009303677,The Sienna Group
Cavaliers Insurance Marketing Alliance Corporation,2024329525,Cavaliers Insurance Marketing Alliance Corporation
Cave Enterprises Operations G LLC,2025334362,Buffalo Wild Wings GO
"Cavender Stores, L.P.",2025333708,"Cavender Stores, L.P."
Cblue Aquatics LLC,2025333230,Cblue Aquatics LLC
Cecila Dearman,2026335416,Sacred Connections 7
Cecilia Rose Rivas,2021317749,"Rivas, Cecilia Rose"
Cecily Broadhead,2021315609,"Broadhead, Cecily"
"Celano, Darlene",2020314075,HANDMADE BY DARLENE
Celia Alicia Cabrera,2025332809,A La Carte Tours and Cruises
Cellco Partnership dba Verizon Wireless,2016303221,Verizon Wireless
Celly's Party Rentals LLC,2023321747,Celly's Party Rentals LLC
Centennial Realty Brokerage & Investment Corp,2026335651,"Centennial Advisor, LLC"
Center for Behavioral Development LLC,2024331108,Center for Behavioral Development
"CenterWell Senior Primary Care (NV), P.C.",2021316003,CenterWell Senior Primary Care
"Centerfire Ninth, LLC",2025334236,Centerfire Ninth
Central Christian Church,2020314908,Central Christian Church
"Central Power Systems & Services, LLC",2026336178,Central Power Systems & Services. LLC
Central Valley Systems Consultants LLC,2023322010,Central Valley Systems Consultants
"Centre Firearms Company, Inc.",2017305114; 2015300888,"Centre Firearms Company, Inc."
Centre Ice Hockey LLC,2022320767,Centre Ice Hockey
Centron Life Products L.L.C.,2025333838,Centron Life Products L.L.C.
Century Executive Suites of Henderson LLC,2011302422,Century Executive Suites of Henderson LLC
Century Graphics Printing of Nevada LLC,2015302997,Century Graphics Printing of Nevada LLC
"Century Theatres, Inc.",1993015634,"Century Theatres, Inc."
"CenturyLink of Nevada, LLC",2022321218,"CenturyLink of Nevada, LLC"
"Centurylink Communications, LLC",2014303144,"Centurylink Communications, LLC"
Certainty Management LLC,2022319852,Certainty Management LLC
Certified Moving Service LLC,2026335139,Certified Moving Service LLC
"Certified Project Resources, Inc.",2002303325,Fiala Project Resources
"Certify My Company, Inc.",2019310722,"Certify My Company, Inc."
"Certus Gaming, USA Inc.",2026336371,Certus Technologies
Cesar A Salazar Gonzalez,2022319527,Triple C Cleaning
Champion Carpet Cleaning LLC.,2011302161,Champion Carpet Cleaning LLC.
Champion Lovelock Law PLLC,2017306082,Champion Lovelock Law PLLC
Champion Pups LLC,2024329944,Scenthound Henderson Green Valley
Champions Tavern LLC,2019312697,Aces East
"Chandra Reddy Narala, M.D., PLLC",2024331549,Desert Cardiology & Vascular Center
"Chang, Richard",2008303660,ACME Construction Services
Change Lending LLC,2025333450,Change Home Mortgage
Change Management International LLC,2014303015,Change Management International LLC
Changing Minds LLC,2020314375,Changing Minds Psychiatry
Chapel House Holdings LLC,2024331550,Little Chapel on the Corner
Chapman N. Jon,2009303402,Nick Chapman Insurance Agency
"Chari Phillips, Inc.",2017304591,"Chari Phillips M.S., M.F.T."
Charlene Carberry,2019312338,Psychic Eye Charlene
Charles Blain,2025334217,Pooper Scooper Vegas
"Charles Edward Kamen, MD, PC",2026334766,LiveNow Longevity
Charles Farber,2020314993,FLEUR DE LIS CONSULTING
Charles Saba,2020313207,US JUDICIAL TRAINING CORPS
"Charles Schwab & Co, Inc.",2006300638,"Charles Schwab & Co, Inc."
Charles Schwab Bank,2019311123,Charles Schwab Bank
Charles Schwab Premier Bank,2019311126,Charles Schwab Premier Bank
Charles Schwab Trust Bank,2018308115,Charles Schwab Trust Bank
Charles Schwab Trust Company,2015301689,Charles Schwab Trust Company
Charnel SPA LLC,2024329626; 2024330411,Charnel SPA
"Charter Fiberlink NV-CCVII, LLC",2019312004,"CHARTER FIBERLINK NV-CCVII, LLC"
ChasingSnow LLC,2022319152,ChasingSnow LLC
Chauncy Co.,2014302838,Chauncy Insurance
Chavez Cleaning Service LLC,2023323295,Chavez Cleaning Service
"Chavez Construction Clean-Up Co, LLC",2007301436,Chavez Construction Cleanup
"Check City Partnership, L.L.C.",2015303081; 2015303089; 2015303068; 2015303080; 2017304370; 2017304371; 2017304372; 2017304373,Check City
CheerCats Las Vegas LLC,2021316391,CheerCats Las Vegas
Chef Hearted LLC,2021318305,Chef Hearted LLC
Chefs Office LLC,2024331256,Chefs Office LLC
"Chem Source, Inc.",2017305069,"Chem Source, Inc."
Cherise Higashi,2021316481,"Higashi, Cherise"
Cherose Sweet Creations LLC,2026334752,Cherose Sweet Creations
"Cherry Lashes, Inc.",2024329956,Cherry Lash
Cheryl Ann Davis,2022320325,"Davis, Cheryl Ann"
"Chetu, Inc.",2025333613,"Chetu, Inc."
Chewsy Chews LLC,2025334090,Chewsy Chews LLC
Cheyenne Medical LLC,2021315761,Thrive Cannabis Marketplace
Chiara Crespi,2025333671,Prestine' Bakery
"Chic and Cozy Consignment Furniture, LLC",2021316106,Chic and Cozy Consignment Furniture
"Chicago America Holding, LLC",2009300677; 2009300678; 2009300679,BJ'S Restaurant & Brewhouse
"Chicago Title of Nevada, Inc.",2024329809,"Chicago Title of Nevada, Inc."
Chicali Tacos L.L.C.,2025333497,Chicali Tacos
"Chicho, LLC",2025333358; 2025333359,Keke's Breakfast Cafe
"Chicken Bonz Of Nevada, Inc.",2005301637; 2006300201,CHICKEN SHACK
"Chico's Fas, Inc.",2004302151,CHICO'S #467
"Chill Day, LLC",2022320842,Jeremiah's Italian Ice
China A Go Go II LLC,2025332572,China A Go Go
China A Go Go XI Inc.,2013303257; 2014300858,China A Go Go
China Tango Inc.,2011301065,CHINA TANGO
"Chinitas Venue, LLC",2025333225; 2025333226,Chinitas Venue
"Chip Shots, LLC",2025333891; 2025333893,"Chip Shots LLC; Chip Shots, LLC"
"Chipotle Mexican Grill, Inc.",2003302381; 2020312991; 2003303857; 2007301794; 2007301793,Chipotle Mexican Grill
ChiropracTED L.L.C.,2014302592,ChiropracTED L.L.C.
"Chiropractic For Life, P.C.",2025333863,"Chiropractic For Life, P.C."
Chiropractic Wellness Center of Southern Nevada,2006304901,Horizon Ridge Chiropractic
Chopstix Marks LLC,2018306756,Chopstix
Choten LLC,2026334672,Choten
Chris Lewis,2025332368,Nevadacool
"Chrisbarry, Inc.",2015302802,Air Gourmet
Christel L. Watson,2026336331,Sage & Stone Therapeutics
Christian Joseph Darwick,2024331291,Wick AEM
"Christian N Griffin, Attorney At Law, LTD",2021316143,Griffin Law Group
"Christianne M. Yung, M.D. LTD.",2006300456,"CHRISTIANNE M. YUNG, M.D. LTD."
Christina Parise LLC,2024330859,Clear Mind Counseling
Christine Anderson LLC,2026336035; 2026336036,Black Cat Accounting Services; Black Cat Entertainment
Christine Crovetti Aesthetics LLC,2025334415,Christine Crovetti Aesthetics LLC
Christine LLC,2017304687,7 Hills Massage
Christine Minhchau Nguyen,2005306228,Beauty Nails II
"Christine Navales DDS, A Professional Corporation",2022320038,ADCO Dental
Christine Prato,2021317565,This Little Stitch of Mine
"Christopher Cheng MD, PLLC",2022318605,"Christopher Cheng MD, PLLC"
"Christopher Khorsandi, M.D., PLLC",2020313573,VIP Plastic Surgery
Christopher Michael Rubino,2025333207,Grime Reaper Pressure Washing
Christopher R. Houtakker DC. Prof. Corp.,2006304639; 2006304638,Mountain Side Chiropractic
Christy Meshell Tice,2023323093,"Tice, Christy"
Chucky's Choice LLC,2026336111,Chucky's Choice LLC
Chumino Enterprises Inc,2021316627; 2023321904,Taco Man
Church of Scientology of Nevada,2025333138,Dianetics Foundation
"Churros 101, LLC",2018308589,Churros 101
Chuy's Mobile Car Wash LLC,2019312382,Chuy's Mobile Car Wash
Chynoweth Hill and Leavitt LLC,2022319320,Kelly Hawkins Physical Therapy
"Cimon Co., LTD.",2019310739,"Cimon Co., LTD."
Cimon Inc,2019310738,Cimon Inc
CinderBellas Cleaning Services LLC,2025333221,CinderBellas Cleaning Services LLC
Cindi White Designs LLC,2024329500,Cindi White Designs LLC
Cindy Cowley,2025332596,CLC Fine Art
Cindy Schoonover,2021316223; 2023323003,Distinct Impressions
Cintas Corporation NO. 2,2003304507,CINTAS CORPORATION NO. 2
"Cintil8, Inc",2022320436,"Cintil8, Inc"
Circle K Stores Inc.,1800039791; 1996039665; 2007300000; 2007300001; 2019310375; 2019310374; 2019310376; 2007300002; 2003300802; 2026334882; 2026334883; 2026334884,"Circle K Stores, Inc. #8655; Circle K Stores, Inc. #2703360; Circle K, Store #5394; Circle K #2709566"
Circle S Farms LLC,2017306180,Circle S Farms LLC
"City Automotive, Limited Liability Company",2018307629; 2013302351; 2020313918; 2024331713; 2025332564,"City's Crany Crane; City Automotive, LLC; City Automotive, Limited Liability Company"
City Dog Watch Inc,2021317253,City Dog Watch Inc
City Electric Supply Company,2018308830,City Electric Supply
"City Hotels Group, Inc.",2011301725; 2011301724; 2011301726,Best Western
City Lights Artists' Co-Op,2023323212,City Lights Art Gallery
City Towing Inc.,2011301668,QUALITY TOWING
"City View, Inc.",2025332816,Marker Storage
"CivilOne, LLC",2026335979; 2026335995,CivilOne
Clairsentient Counseling LLC,2025332690,Clairsentient Counseling LLC
Clarence Henry Sherrick Jr.,2024330637,Zarin
Clarity 462 LLC,2025334395,Clarity 462 LLC
Clarity Chiropractic LLC,2026334677,Clarity Chiropractic LLC
Clarius Green Valley Owner LLC,2026334702,The Sorrelle
"Clark County Appraisals, LLC",2022319372,"Clark County Appraisals, LLC"
"Clark County Carpet Cleaning, Inc.",2011302229,"Clark County Carpet Cleaning, Inc."
Clark County Home Inspections L.L.C.,2018308319,City Structural Inspections
Clark County Public Auctions LLC,2023321582,Clark County Public Auctions LLC
"Clark County Water, Incorporated",2015301879,Kinetico Qualilty Water Systems of Las Vegas
Clark's Counseling LLC,2018307027,Clark's Counseling LLC
Claros Landscaping Services L.L.C.,2023321631,Claros Landscaping Services L.L.C.
"Classic Landscapes, LLC",2005304980,"Classic Landscapes, LLC"
Classic Products Corp.,2020313559,CLASSIC PRODUCTS CORP.
"Claudia Garcia MD, A Professional Corporation",2015300279,My Kid's Doctor Inc.
"Claudia K. Vogel, M.D., Ltd.",2005305691,"Claudia K. Vogel, M.D., Ltd."
Claudine Atilano,2026335268,The Doodle Duo
Claudine's Skin Care Inc,2019309944; 2026335210,Claudine's Skin Care Inc
Claudio Ruben Teterycz,2012307870,ItalianMetals
Claw Planet LLC,2023329373,Claw Planet
"Clay Health & Care, PC",2025332568,"Clay Health & Care, PC"
Clay Pryor Interiors LLC,2019312394,Clay Pryor Interiors LLC
Clean Break Hawaii LLC,2026334680; 2026334681,Clean Break Hawaii LLC
"Clean Cans, LLC",2024329408,"Clean Cans, LLC"
Clean Cut Landscape LLC,2026334889,Clean Cut Landscape LLC
"Clean Edge Printing, Inc.",2012301354,"Clean Edge Printing, Inc."
Clean Freak Janitorial LLC,2018308466,Clean Freak Janitorial LLC
Clean Haul and Dump LLC,2026335460,Clean Haul and Dump LLC
Clean Waves Pool Services LLC,2025334412,Clean Waves Pool Services LLC
"CleanSpark, Inc.",2023321892,"CleanSpark, Inc."
"Cleaning Well, LLC",2024329548,Cleaning Well
Cleaning With Yenny LLC,2026335909,Cleaning With Yenny
Cleanspec Commercial Services LLC,2026335100,Cleanspec Commercial Services LLC
Cleansphere Commercial Cleaning LLC,2025332452,Cleansphere Commercial Cleaning
Cleanup Kings of Nevada LLC,2026334902,PuroClean of East Las Vegas
Clear Blue Pool Service Nevada LLC,2024330330,Clear Blue Pool Service Nevada LLC
"Clear Channel Outdoor, LLC",2021317408,"Clear Channel Outdoor, LLC"
Clear Insurance Strategies LLC,2025332413,Clear Insurance Strategies LLC
"Clear Live, LLC",2023322857,"Clear Live, LLC"
Clear Out Ink Laser Tattoo Removal LLC,2013302395,Clear Out Ink Laser Tattoo Removal
"Clear River, LLC",2017305892; 2019311854,Nevada Made Marijuana
Clear Solutions LLC,2023321982; 2025331916,Clear Solutions LLC; CS Fitness
"Clear Title Company, Inc.",2019311167,"Clear Title Company, Inc."
"Clear Valuation, Inc.",2022319735,"Clear Valuation, Inc."
"Clear Value Insurance, LLC",2024330467,"Clear Value Insurance, LLC"
Clear Water Pools LLC,2024330233,Clear Water Pools NV
ClearEdge Lending LLC,2022320730,ClearEdge Lending LLC
Clearcut Shutters LLC,2026334699,Clearcut Shutters
Cleardatum Inc,2013301679,Cleardatum Inc
Clearly Clean LLC,2025333282,Cleary Clean LLC
Cleotilde Alaniz,2025333404,Cleo's Shop
Clever Brod Bakery LLC,2025334195,Clever Brod Bakery LLC
"Clifford Senior Law, PLLC",2023321525,"Clifford Senior Law, PLLC"
"Clinical Pathology Laboratories, Inc.",2015302355; 2023322896,"Clinical Pathology Laboratories, Inc."
"Closeout Surplus & Savings, LLC.",2021316623,"Closeout Surplus & Savings, LLC."
Cloud 9 Studio Salons LLC,2022320302,Cloud 9 Studio Salons
"CloudTalk.io, Inc.",2026335177,"CloudTalk.io, Inc"
Clownfish Entertainment LLC,2012309705,Clownfish Entertainment LLC
Club Champion LLC,2026335495,Club Champion LLC
"Club Demonstration Services, Inc.",2017304449; 2024330587,"Club Demonstration Services, Inc."
Club Design Studio LLC,2022319065,Club Design Studio
"Club Loco, LLC",2026334796,Club Loco LLC
Club Social LLC,2025334139,Club Social LLC
Clyde Caldwell,2014301962,AB Screen Printing
"Coaching Pros Personal Injury Academy, LLC",2023321308; 2023321309,"Coaching Pros Personal Injury Academy, LLC; CP Legal Staffing"
"Coast to Coast Computer Products, Inc.",2021317304,"Coast to Coast Computer Products, Inc."
"Coastal Dream Docs, Inc.",2018309288,"Coastal Dream Docs, Inc."
"Coastal Medical Supply, Inc.",2018309285,"Coastal Medical Supply, Inc."
Code 4 Consulting LLC,2021318024,Code 4 Consulting & Private Investigations
Code Central LLC,2024330544,Code Central
"Coinstar Asset Holdings, LLC",2017306352,Coinstar
Cold Brothers LLC,2025332581,Cold Brothers
Cole Law Offices Ltd.,2025333040,Cole Family Law Firm
Coleman Enterprises LLC,2026335455,Aces Auto Sales
Coleman Financial Corp.,2018307503,Coleman Financial Corp.
Colette Meighan,2025332518,"Meighan, Colette"
Collaborative Awakenings Counseling LLC,2020314461,COLLABORATIVE AWAKENINGS COUNSELING LLC
Collector's Haven LLC,2026335758,Collector's Haven LLC
College Villas L.P.,2024329393,College Villas Senior Apartments
"Collins, Audrey",2016302001,A. Collins 3D Brows
"Color Gamut Digital Imaging, LLC",2018309290,"Color Gamut Digital Imaging, LLC"
"Color Shift, Inc.",2024331706,Dixie Walnut Co
"Colorado River Coffee Roasters, LLC",2015303197,"Colorado River Coffee Roasters, LLC"
Columbia Bank,2017300050,Columbia Bank
"Combined Public Communications, LLC",2020313453,"Combined Public Communications, LLC"
"Comcast Business Communications, LLC",2018309090,"Comcast Business Communications, LLC"
"Comcast IP Phone, LLC",2024329527,"Comcast IP Phone, LLC"
Comforting Companions Home Care LLC,2026335614,Comforting Companions Home Care LLC
Common Ground LLC,2025332133,Common Ground LLC
Common Sense LLC,2019310775,Common Sense LLC
Community Improvement Services L.L.C.,2012310835,Community Improvement Services
"Community Placements of Nevada, LLC",2020314046,"Community Placements of Nevada, LLC"
Community Shield Services LLC,2025334010; 2026336265,Community Shield Services LLC
"Community Vegas, LLC",2022321248; 2023323058,Chef's Roma Kitchen
"Community Vision, Inc.",2020313846,"Community Vision, Inc."
Community of Grace Church,2026335849,Community of Grace Church
"Community of Nevada Diagnostics, LLC",2019312793,"Community of Nevada Diagnostics, LLC"
"Companion Pet Partners US, LLC",2022319099; 2022319100,WARM HEARTS PET HOSPITAL
Compare My Plan LLC,2022320486,Compare My Plan LLC
"Compassion Crest, LLC",2022319991,Compassion Crest Home Care
"CompassionCare Hospice Las Vegas, LLC",2019312671,Compassioncare Hospice
Compassionate Mindful ABA LLC,2024329916,Compassionate Mindful ABA LLC
"Compassionate Pet Cremation, LLC",2005303489,"Compassionate Pet Cremation, LLC"
Competition Realty LLC,2015300126,Competition Realty LLC
Complete Risk Management LLC,2025332874; 2025332875,Complete Risk Management LLC
Complete Services LLC,2018309672,Baby Bliss
"Comprehensive Dental Care, LLC",2015300127; 2023322649,Comprehensive Dental Care
"Comprehensive EyeCare Partners, LLC",2022319280,"Comprehensive EyeCare Partners, LLC"
Comprehensive Therapy Centers LLC,2006302000,Comprehensive Physical Therapy
"Comprehensive and Interventional Pain Management, LLP",2015302504,"Comprehensive and Interventional Pain Management, LLP"
"Compressed Air Specialties, Inc.",2025333201,"Compressed Air Specialties, Inc."
"Computer Surgeon 4 U, LLC",2024330538,"Computer Surgeon 4 U, LLC"
"Concentra Health Services, Inc.",2003301020,Concentra Medical Center
"Concierge Care Physicians, LLP",2006303373,Concierge Care Physicians
"Concierge Credit Solutions, Inc.",2022320275,"Concierge Credit Solutions, Inc."
Concierge Nursing Solutions LLC,2023323107,Concierge Nursing Solutions LLC
Concrete Dreams Corporation,2016301352,Nielsen's Frozen Custard
"Concrete Dreams GVR, LLC",2026335390,Nielsen's Frozen Custard
"Condev Nevada, Inc.",1996040048,Dillard's
Conner Family & Associates LLC,2013302115,Conner Family & Associates LLC
Connolly Enterprises LLC,2023322804,Connolly Care
Connor Soley,2024330804,"Soley, Connor"
"Conrad Lochner III, OD., a professional corporation",2005305309,"Conrad Lochner III, OD., a professional corporation"
Conscious Gaming,2021317270,Conscious Gaming
Conscious Healing Therapy LLC,2023322498,Conscious Healing Therapy
"Consor North America, Inc.",2023322038,"Consor North America, Inc."
"Construction Quality Management of Nevada, Inc.",2021317979,Pete Fowler Construction Consultants
"Construction Reality Capture, LLC",2023321340,Multivista
Consumer Cellular,1997TC0820,Consumer Cellular
Contemporary Services Corporation,2025332210,Contemporary Services Corporation
Continental Battery Company,2022319034,Bridgeview Power
Coo Coo's Cafe LLC,2022318569,Coo Coo's Cafe
CooCoo Cahoo LLC,2023321970,BallyWho? Consulting
Cookie Friday LLC,2023322791,Cookie Friday
Cool It Portable AC Rentals LLC,2026335825,Cool It Portable AC Rentals LLC
"Cool Kat Productions, LLC",2021317619; 2020314628; 2025332058,Vegas Best Pool Supply; Vegas Best Pool Service
CooperTeam LLC,2024331741,Synergy HomeCare of Anthem
"Copa Fina NV, LLC",2025334471,"Copa Fina NV, LLC"
Copper Cat Books LLC,2017306330,Copper Cat Books LLC
Coral Gables LV LLC,2025331952,The Coral Gables
Corazon Home Care LLC,2025334163,Corazon Home Care
Core & Main LP,2015303168,Core & Main LP
Core Crew Solutions LLC,2025332103,Core Crew Solutions LLC
Core Fitness & Martial Arts,2019311744,Core Fitness & Martial Arts
Core Solutions LLC,2026335107; 2026335538,Core Wellness and Conscious Healing; Core Wellness & Conscious Healing
"Core Title Group, LLC",2021317850,"Core Title Group, LLC"
"Core-Mark US, LLC",2025332739,"Core-Mark US, LLC"
Corethentic LLC,2025332021,Corethentic Lagree
"Corn, LLC",2017304248,Corn Auto
Corner Your Market LLC,2019310312,Corner Your Market LLC
Cornerstone Caregiving West LLC,2025334038,Cornerstone Caregiving
Cornerstone Nails LLC,2024330906,Me Nails & Spa
"Cornerstone Park Apartments SPE, LLC",2020313900,Cornerstone Park Apartments
Cornerstone Softball Inc.,2021316010,Clean and Sober National Softball Association
"Coronado Drive Senior Housing, LLC",2011302238,Coronado Drive Apartments
"Coronado Surgery Center, LLC",2024329486,Coronado Surgery Center
"Corporate Complete Systems, LLC.",2023322671,"Corporate Complete Systems, LLC."
Corporate Flight International,2018309525,Thrive Aviation
Cory F Ayers,2011300855,Aayers Backflow Services
Cosmetic Solutions Group LLC,2026335991,Butterfly Society Salon
"Cosmic Concepts, Ltd.",2025333583,Media Star Promotions
"Cosmopawlitan, LLC",2024330491,Cosmopawlitan Mobile Dog Grooming
Costco Wholesale Corporation,2018308956; 2001300527; 2005306010; 2018309196; 1991008970; 2018308955; 2003300803,Costco Wholesale #1320; Costco Wholesale #673/35170-00; Costco Wholesale #673
"Cotter, Geoffrey L",2009301890,Geoffrey L Cotter Firearms
Cotton On USA Inc,2022321243,Cotton On
Coulter Management LLC,2026335595,Paws In Charge
Country Club Village MHC LLC,2025331980,Country Club Village MHC LLC
County Funeral Services L.L.C.,2020313887,Perfect Cremations
"Courtney Haight, Ph.D. LLC.",2022320990,"Courtney Haight, Ph.D. LLC."
"Couture MMA & Fitness, LLC",2026335050,Xtreme Couture MMA
"Covenant Protectors, LLC",2004303291,COMFORT KEEPERS
Covenant Real Estate Group LLC,2024329889,Covenant Real Estate Group LLC
Cowgirl Cantina LLC,2026336271,Patriot Party Rentals
"Cox Advanced Services Nevada, LLC",2017305740; 2017305739; 2014303309; 2015300388,Cox Business Security Solutions; Cox Homelife
"Cox Communications Las Vegas, Inc.",2017305602,Cox Solutions Store
"Cox Construction Law, PLLC",2026334821,"Cox Construction Law, PLLC"
"Cox Nevada Telcom, L.L.C.",2025332542,"Cox Nevada Telcom, L.L.C."
"Cox Wireless, LLC",2025332282,"Cox Wireless, LLC"
Coyote Pool Care LLC,2025334117,Coyote Pool Care LLC
Cozy Home LLC,2026336137,Cozy Home LLC
Crab Corner II LLC,2022321213,Crab Corner
Crab N Spice Henderson Incorporated,2022321119; 2023322327,Crab N Spice
Craftfluent LLC,2025333279; 2025333281,CraftFluent; Ginger & Snow
"Crafthaus Brewery, LLC",2014302367; 2014302366,CraftHaus Brewery
"Craftsman Industries, Inc.",1996040410,"Craftsman Industries, Inc."
Craig Lucas,2007302785,Law Office of Craig J. Lucas
Craig Tribus,2026335990,Real Estate Strategists
Craigen LLC,2025332601,Craigen LLC
"CraneCo, LLC",2023322109,Poke Poku
Crash Champions LLC,2024331251,Crash Champions LLC
"Crawford Oil, Inc",2024330610,"Crawford Oil, Inc"
"Crazy Pita Two, LLC",2007304063,Crazy Pita
Create Credit Union,2005306680,Create Credit Union
"Creative Applications, Inc.",2016301291,"Creative Applications, Inc."
Creative Behavioral Connections LLC,2024331199,Creative Behavioral Connections LLC
Creative Bizness Solutions LLC,2018307836,Creative Bizness Solutions
Creative Labs LLC,2026335563,Creative Labs LLC
"Creative Technology Group, Inc.",2024331383,"Creative Technology Group, Inc."
Creature of Habit LLC,2023322980,Creature of Habit
Credit Mileage LLC,2025332246,Credit Mileage
Credit Union 1,2015300218; 2015300222,Credit Union 1
"CreditFresh LaaS, Inc.",2025332535,"CreditFresh LaaS, Inc."
Creole Hippie Cuisines LLC,2025333602,Creole Hippie Cuisines LLC
"Crest Insurance Group, LLC",2024331298,"Crest Insurance Group, LLC"
